Time,PosX_1,PosY_1,PosZ_1,VelX_1,VelY_1,VelZ_1,Yaw_1,Pitch_1,Roll_1,PosX_2,PosY_2,PosZ_2,VelX_2,VelY_2,VelZ_2,Yaw_2,Pitch_2,Roll_2
1.398000000000001,0.7323467671980727,0.0004274804724753993,0.9705778457751252,0.2372180043145986,4.3438815193339325e-05,-0.4009724463625401,-0.0012193205818695084,-0.3307660298161688,0.0006900115165712894,0.6701804739007968,-0.054459932205445545,1.613958729791631,0.6701804739007968,-0.054459932205445545,1.613958729791631,-0.05374087090982254,-0.04443913667240725,-0.28610378318018853
1.400000000000001,0.7328212032067019,0.00042756735010578595,0.9697759008824001,0.23802860666888134,3.267165756389592e-05,-0.4053299797020297,-0.001220281929953202,-0.33045002056836514,0.0006832080896837034,0.6688751848550897,-0.05568102777439399,1.6142023848749938,0.6688751848550897,-0.05568102777439399,1.6142023848749938,-0.05328414302575713,-0.04495052993284301,-0.2851587427680821
1.402000000000001,0.7332972604200396,0.00042763269342091373,0.968965240922996,0.23883143120301925,2.196376236548285e-05,-0.4096211178756668,-0.0012213778113686017,-0.3301378957430321,0.0006763265104806415,0.667578334167669,-0.056892636105270435,1.6144409299651052,0.667578334167669,-0.056892636105270435,1.6144409299651052,-0.05282736256767162,-0.04546567316134052,-0.2842124787863308
1.404000000000001,0.7337749232824456,0.0004276766209456447,0.9681459986872446,0.2396264439785747,1.131717313850979e-05,-0.41384595466431073,-0.001222757392412652,-0.32982945452999424,0.0006696223490067831,0.6662899026992908,-0.058094778908862534,1.6146743977115119,0.6662899026992908,-0.058094778908862534,1.6146743977115119,-0.05237050148753597,-0.0459843768876876,-0.2832659984482244
1.406000000000001,0.7342541761704028,0.00042769925529192174,0.967318306777916,0.2404136172811508,7.30162187459199e-07,-0.418004598579185,-0.001224455220920523,-0.3295251004496693,0.0006623959957419427,0.6650098711604678,-0.05928747799742558,1.6149028207492488,0.6650098711604678,-0.05928747799742558,1.6149028207492488,-0.051913403676161415,-0.04650764831477182,-0.2823191093504552
1.408000000000001,0.7347350034049651,0.0004277007156162967,0.9664822975807577,0.2411929201801985,-9.78894026617529e-06,-0.42209717198786045,-0.0012258112127672555,-0.32922509941891775,0.000656304792565973,0.66373822011964,-0.06047075525112324,1.6151262316865926,0.66373822011964,-0.06047075525112324,1.6151262316865926,-0.0514560859188206,-0.04703456299670926,-0.2813703702918334
1.410000000000001,0.7352173892453255,0.0004276811377357643,0.9656381032367819,0.24196432042222518,-2.025521642963375e-05,-0.4261238108717621,-0.0012274220155082732,-0.32892951170755436,0.0006502943611152871,0.6624749299665337,-0.06164463262167559,1.6153446631141126,0.6624749299665337,-0.06164463262167559,1.6153446631141126,-0.050999512225619235,-0.04756467829623787,-0.2804193074134846
1.412000000000001,0.73570131788617,0.00042764062730290506,0.9647858556150384,0.24272778752920554,-3.0669069202407775e-05,-0.4300846647083928,-0.0012293202531574556,-0.32863790822261896,0.0006451099273756454,0.6612199809405784,-0.06280913218301748,1.6155581476112832,0.6612199809405784,-0.06280913218301748,1.6155581476112832,-0.050543311024293436,-0.04809853258678347,-0.2794659270009542
1.414000000000001,0.7361867734612284,0.00042757928916450027,0.9639256862856216,0.24348330029415619,-4.104185117705632e-05,-0.43397989635028167,-0.0012318906650859343,-0.32835104186257963,0.00063948467073146,0.6599733531537922,-0.06396427615656992,1.6157667177465935,0.6599733531537922,-0.06396427615656992,1.6157667177465935,-0.05008685049043995,-0.04863522018613929,-0.2785101553027068
1.416000000000001,0.7366737400618167,0.00042749720546214615,0.963057726492921,0.24423082813126545,-5.136671339843661e-05,-0.437809680696889,-0.0012338559654409143,-0.32806719336501383,0.0006324474501550199,0.6587350265685394,-0.06511008690745561,1.6159704060804472,0.6587350265685394,-0.06511008690745561,1.6159704060804472,-0.049630619970089065,-0.04917575882910165,-0.27755077294541924
